{'round': 0, 'grad_norm_head': 1.597593386068596, 'grad_norm_feat': 2.4288141829262595}
{'round': 1, 'grad_norm_head': 1.4240864282356145, 'grad_norm_feat': 2.1289339509855756}
{'round': 2, 'grad_norm_head': 0.928557605042282, 'grad_norm_feat': 1.381874112890166}
{'round': 3, 'grad_norm_head': 0.6670195048114533, 'grad_norm_feat': 1.002020363749643}
{'round': 4, 'grad_norm_head': 0.5107458058146571, 'grad_norm_feat': 0.7590301827081082}
{'round': 5, 'grad_norm_head': 0.40827463578448564, 'grad_norm_feat': 0.601788305202953}
{'round': 6, 'grad_norm_head': 0.325627302690457, 'grad_norm_feat': 0.4803283645377069}
{'round': 7, 'grad_norm_head': 0.2678072761953726, 'grad_norm_feat': 0.39605097931393524}
{'round': 8, 'grad_norm_head': 0.22318019259665303, 'grad_norm_feat': 0.33402007065950895}
{'round': 9, 'grad_norm_head': 0.1902309674899214, 'grad_norm_feat': 0.28802342278841647}
{'round': 10, 'grad_norm_head': 0.15839564314746235, 'grad_norm_feat': 0.24317954217945553}
{'round': 11, 'grad_norm_head': 0.13676434253127456, 'grad_norm_feat': 0.21222809044200736}
{'round': 12, 'grad_norm_head': 0.1185862837576685, 'grad_norm_feat': 0.185219675609556}
{'round': 13, 'grad_norm_head': 0.10521197867909785, 'grad_norm_feat': 0.16485617090245444}
{'round': 14, 'grad_norm_head': 0.09577603040884383, 'grad_norm_feat': 0.15184045622420947}
{'round': 15, 'grad_norm_head': 0.09149273186538268, 'grad_norm_feat': 0.1459526811820055}
{'round': 16, 'grad_norm_head': 0.08403538753477645, 'grad_norm_feat': 0.13485724341430916}
{'round': 17, 'grad_norm_head': 0.07679109105363958, 'grad_norm_feat': 0.12413064108252878}
{'round': 18, 'grad_norm_head': 0.07097411023098352, 'grad_norm_feat': 0.11439057607382852}
{'round': 19, 'grad_norm_head': 0.0660116353843205, 'grad_norm_feat': 0.10731423843248912}
{'round': 20, 'grad_norm_head': 0.06009505942913411, 'grad_norm_feat': 0.09832245472818973}
{'round': 21, 'grad_norm_head': 0.0564834069116352, 'grad_norm_feat': 0.09266546833667691}
{'round': 22, 'grad_norm_head': 0.05247778396509419, 'grad_norm_feat': 0.08632109782245569}
{'round': 23, 'grad_norm_head': 0.04837844388874962, 'grad_norm_feat': 0.08005343267430251}
{'round': 24, 'grad_norm_head': 0.04440190983236344, 'grad_norm_feat': 0.07373656845276012}
{'round': 25, 'grad_norm_head': 0.041337541560873464, 'grad_norm_feat': 0.06895908299437535}
{'round': 26, 'grad_norm_head': 0.0381509089122456, 'grad_norm_feat': 0.06383478526997795}
